,description_en
8613,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8685,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
10418,"Water files are provided for the mapping of inland and coastal waters, Great Lakes and the St. Lawrence River. These files were created to be used in conjunction with the boundary files."
9362,Raw materials price index
9541,"Canada Mortgage and Housing Corporation, vacancy rates, row and apartment structures of three units and over, privately initiated in census agglomerations of 50,000 and over, weighted average"
1594,Diet and feeding of Atlantic Salmon. Purpose: Stock assessment/Research papers.
6524,"Low income measures by income source and household size, 2011 constant dollars"
6131,"Net income of provincial and territorial liquor authorities and government revenue from the control and sale of alcoholic beverages, fiscal years ended March 31"
2742,The bulk XML files for all consolidated federal Acts and Regulations is a complete collection of the full document XML files for all consolidated Acts and Regulations found on the Justice Laws Website. 
158,The “Agri-Environmental Indicator (AEI) - Risk of Wind Erosion on Cultivated Land” dataset provides the estimated rate of soil loss from wind for Soil Landscapes of Canada agricultural areas for census years from 1981 to 2011.
3215,Number of males and female spruce budworm moths caught daily in canopy traps placed above the tree tops.
2101,"Carbon fluxes and concentrations (carbon dioxide, CO2, and methane, CH4) were measured in various aquatic and terrestrial ecosystems across the eastern Canadian Arctic. Firstly, this study aimed to quantify summer CO2 and CH4 emissions for the full range of aquatic and terrestrial ecosystems in the subarctic zone, more exactly in the Kuujjuarapik area, and to examine the importance of limnology, vegetation cover and underlying substrate on spatial variations in C emissions. Emissions of CO2 and CH4 were measured using a static flux chamber (SFC) and concentrations were determined by dual detector gas chromatography. These fluxes were then scaled by cover type to give a first estimate of this subarctic region's landscape scale summer emissions of CO2 and CH4. Secondly, another objective of this research was to determine net ecosystem exchange (NEE) in the eastern Canadian subarctic ecosystems, more precisely over shrub vegetation in forest tundra, and to examine the implication of climatic factors, such as precipitation and temperature, on annual and seasonal variability. An open path Eddy Covariance System, including 3D anemometer, CO2/H2O open path infrared gas analyzer and specific meteorological sensors were used for continuous in situ measurements. Carbon dioxide exchanges were then compiled to give a first estimate of NEE budget of this subarctic region. Finally, we aimed to compare soil C content with the general trends of CO2 exchange along a gradient spanning 55° to 73°N in the Canadian eastern Arctic and to relate this to spatial trends in vegetation communities. Emissions of CO2 and CH4 over soil were measured using a static flux chamber (SFC) and concentrations were determined by dual detector gas chromatography and infrared analyzer. NEE were measured using BOWEN RATIO systems, and closed path infrared analyzer. The data set includes measurements from Kuujjuarapik, Umiujaq, Pond Inlet and Bylot Island (2006, 2007, 2008 and 2009)."
216,The “Gross and Effective Drainage Areas for Hydrometric Gauging Stations of the AAFC Watersheds Project - 2013” dataset is a table that provides the calculated gross and effective drainage areas associated with the hydrometric gauging stations of the Agriculture and Agri-Food Canada (AAFC) Watersheds Project. Areas are provided in square kilometres. ‘Gross drainage’ describes the total area of a catchment. ‘Effective drainage’ describes areas that are expected to contribute to an average runoff.
4099,"Deaths and mortality rates, by age group and sex, Canada, provinces and territories"
6974,"Canadian vehicle survey, number of vehicles in scope, by type of vehicle and age of vehicle model"
2788,"This file contains data for a 1973 survey undertaken to aid the Public Service Staff Relations Board in providing information on the pay rates, hours of work, education and field of work for use during contract negotiations. These datasets have been converted from their legacy file structures and encoding schemes so they can be used by contemporary computers that are based upon the ASCII character-encoding scheme. Each dataset will require specialized software such as a statistical tool, to interpret and analyze the content in each file. The attached codebook describes the file’s structure and defines the variables contained in each field. Each code book is a compilation of the summary description of the dataset as provided by the creating department.  As such, it is available in English only."
10654,Cleaned and vetted by TC list of fire stations across Canada originally provided through a contract service with CIRRELT
5624,"Exposure to second-hand smoke at home, by age group and sex, non-smoking household population aged 12 and over, Canada, provinces, territories, health regions (June 2005 boundaries) and peer groups"
5913,"Sales of alcoholic beverages by liquor authorities and other retail outlets, by type of outlet"
2293,"Environment Canada provided state-of-the art, 24/7 dedicated, venue-specific weather alerting services and environmental emergency support for the Toronto 2015 Pan and Parapan American Games. The TO2015 Games were also a catalyst for improving existing weather services through research and demonstration projects that will benefit future generations of Canadians. ASTD Datasets associated with this initiative include AMMOS Data from 3 mobile weather stations; ATMOS Data from 10 surface weather stations; and Radar data – relevant data from EC and NOAA radars. "
4246,"Farm input price index, supplies and services"
8593,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
2942,"This data set consists of greyscale reliefs created from digital multibeam bathymetry data collected by the Geological Survey of Canada (Atlantic). Multibeam bathymetry surveys use sonar to map the seafloor. Sound is transmitted toward the seabed in beams formed using an array of piezoelectric transducers and as the vessel moves through the water, the acoustic signals or ""pings"" bounce back off the seabed returning up to the water surface where they are detected by the transducer and recorded on board. Measurement of acoustic velocity variations in the water column permit conversion of  ""ping"" return time to water depth. Compilation and processing of these soundings within a Geographic Information System (GIS) yields a 3-dimensional digital elevation model (DEM) of the seafloor. The individual surveys cover areas of particular interest to the marine geoscientists at the Geological Survey of Canada (Atlantic)."
8071,"Survey of household spending (SHS), household spending, by household tenure"
7262,"Vocational training education expenditures, by type of program and direct source of funds"
7205,"Private sector employment flow rates expressed as a percentage of employment, by North American Industry Classification System (NAICS)"
6429,Electric utility construction price indexes (EUCPI)
2964,"These tables contain most of the energy, GHG, activity and price data used by the Office of Energy Efficiency for its analysis."
747,"Facts and Figures 2015: Immigration Overview–Permanent Residents presents the annual intake of permanent residents by category of immigration from 1990 to 2015. The main body of the publication consists of a series of statistical tables and charts covering the ten-year period from 2006 to 2015. The report depicts selected characteristics for permanent residents.

The statistics for admission of permanent residents are provided for the three main categories of immigration—family class, economic immigrants and refugees—as well as for other immigrants who do not qualify in any of these categories."
4043,"Use of business practices, by business practice type, North American Industry Classification System (NAICS) and enterprise size"
9635,Process cheese production
5530,"The Geographic Attribute File contains data at the dissemination block level, based on 2011 Census standard geographic areas. The data available include population counts, dwelling counts, and land area.
"
8817,"Population by mother tongue, by census metropolitan area , excluding institutional residents (2011 Census)"
4394,"Railway transport survey, inventory of equipment in service summary of regional railways"
8888,"Summary table. Find data on mood disorders including: depression, bipolar disorder, mania or dysthymia, by province and territory by year. Number of persons. STC"
7022,"Trucking financial statistics, by industry group"
4131,"Distribution of the household population by Children's body mass index (BMI) - World Health Organization (WHO) classification system, by sex and age group"
394,"The National Ecological Framework for Canada's ""Surface Material by Ecoprovince” dataset provides surface material information within the ecoprovince framework polygon. It provides surface material codes and their English and French language descriptions as well as information about the percentage of the polygon that the component occupies.
 Surface material includes the abiotic material at the earth's surface. The materials can be: ICE and SNOW - Glacial ice and permanent snow ORGANIC SOIL - Contains more than 30% organic matter as measured by weight ROCK - Rock undifferentiated MINERAL SOIL - Predominantly mineral particles: contains less than 30% organic matter as measured by weight URBAN - Urban areas. Note that only a few major urban area polygons are included on SLC source maps, therefore, do not use for tabulating total urban coverage"""
5868,Edible oils and fats
975,An annual publication released on CSA website with the aggregate results of the annual data collection sent out to all Canadian organizations (academic and businesses) involved in the space sector.
3902,"Internal order mapping to projects and their attributes, including project type, name, group, status, as well as OPI, source of fund, department.  Internal orders are used to track project costs as well as ongoing horizontal costs."
1017,The indicator represents the total number and type of seizure methods used in relation to drug-related seizure incidents in federal institutions.  A drug-related seizure incident may involve more than one method of seizure. 
4979,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4619,"Cancer incidence, by selected sites of cancer and sex, three-year average, Canada, provinces, territories and health regions (2011 boundaries)"
2375,"Information related to intellectual property (IP) that is subject to the ESDC IP Management Policy (on iService), including IP created and/or acquired, which has a commercial value, that pertains to software or technological tools, a formal government publication, official marks or trade-marks of the government, assignments, licenses obtained or given to third parties, and all other IP and/or permissions of significant value or importance."
2427,"• Awareness of Registered Education Savings Plans (RESPs) and Canada Education Savings Program (CESP) Products
• Attitudes Toward post-secondary education (PSE), Saving for PSE and Financial Institutions
• RESP Information
• RESP Contribution Patterns
• Process and Barriers for RESP Holders
• Process and Barriers for Non-RESP Holders
• Automatic Enrolment and Privacy"
5367,"Fruit and vegetable consumption, 5 times or more per day, by age group and sex"
5277,"Area of fruit, berries and nuts, vegetables, sod, nursery and greenhouse products, by province (Census of Agriculture, 1986 to 2006)"
5015,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5777,"Treatment of main source of water by households, Canada, provinces and census metropolitan areas (CMA)"
9174,"Canadian government finance statistics (CGFS), statement of operations and balance sheet for health and social service institutions"
1768,"Samples of Bluefin Tuna were collected at Virgin Rocks, Grand Banks of Newfoundland and analysed for trace elements. Purpose: For those interested in contaminants research."
3712,"At the end of each fiscal year, financial information is published in the Public Accounts. This dataset, based on its Volume 1, provides a two year comparative analysis of Government operational expenses (in millions of dollars) with outside parties. It includes data taken from Table 3.6 — External Expenses by Type (prior to 2008) and External Expenses by Segment and by Type (2008 and after). This dataset is from the Public Accounts of Canada and is not the official record of information. The official version of record can be found on the Receiver General website for the most recent fiscal year and the Library and Archives website for historical years. "
8026,"Perceived health, by sex, household population aged 12 and over, Canada, provinces and territories"
7442,"Five-year survival estimates for primary sites of cancer, ICD-O-3 (October 2011 CCR file), by sex, population aged 15 to 99, 1 year of cases, selected provinces"
526,"This report presents quality data on the oil, protein, glucosinolate contents and the fatty acid composition of oriental (Brassica juncea), brown (Brassica juncea) and yellow (Sinapis alba) mustard exports for 2015-16."
3673,"At the end of each fiscal year, the Receiver general of Canada publishes financial information in the Public Accounts. These datasets present the year‑end balances of cash and accounts receivable by category, a summary of the cash and cash equivalents, taxes receivable by tax stream and the balances for other receivables"
2044,"This report reviews how primary suppliers have responded to the Benzene in Gasoline Regulations of the Canadian Environmental Protection Act, 1999. All producers and importers of gasoline must submit reports annually to ECCC reporting on the composition of the gasoline they supplied in that year. "
5919,"Railway transport survey, operating and income accounts of regional railways"
1832,"Logbook data collected from fishers of less than 100 ft boats. Otter trawls from 150-600 meters. In Fortune Bay, data from less than 65 foot boats using beam trawlers. Purpose: Describe fishery, stock status. Spatial distribution of fishery and how it changes over time. Describe catch rates."
1687,Multispecies ages of fish. Purpose: Used in stock assessments and supported biological studies.
600,"Qualified people who have been placed into the Express Entry pool of candidates.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated."
7751,"Total value of construction work performed, new and repair, by type of structure and by residential and institutional services, actual data"
3627,Not Available
3483,"The park is developing a protocol to monitor Northern Map Turtles as they congregate to bask along rock outcrops and shorelines on Georgian Bay. The measure will be completed annually through field observations of suitable basking sites. Turtles are long-living slowly-reproducing reptiles and play an important role of scavengers and predators in freshwater ecosystems. By monitoring the park will be able to track changes over time, identify potential threats and thereby achieving conservation goals."
7039,Number of hogs on farms at end of quarter
4424,"Premature and potentially avoidable mortality, three-year average, Canada, provinces, territories, health regions and peer groups"
4223,"University education expenditures, by direct source of funds and type of expenditures"
7896,"Cattle statistics, supply and disposition of cattle"
8427,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7992,"Child tax benefits for adults with disabilities, by disability type and severity"
185,The “Annual Unit Runoff (dam3/km2) for a 70% Probability of Exceedence” dataset is a line data set that covers the extent of Canada. It shows the 70% Probability of exceedence annual unit runoff.
5360,Architectural and Landscape architectural services
5941,"Canada Mortgage and Housing Corporation, housing starts, all areas, Canada and provinces, seasonally adjusted at annual rates"
9960,"Survey of Employment, Payrolls and Hours (SEPH), fixed weighted index of average hourly earnings for all employees, by North American Industry Classification System (NAICS)"
1733,"A relational dataset that includes all of the biological data of marine mammals in the Newfoundland and Labrador region. It includes diet, population, morphometric, male and female reproductive, and prey items data for seals and cetaceans. Purpose: Research/stock assessment/ecosystem studies."
4835,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
341,"Database of nitrogen fertilization trials on the L'Acadie experimental farm. This database contains hand harvested corn, wheat, canola, broccoli yield, nitrogen fertilization rates, dates of treatment application, dates of sowing, sampling, measurements, harvesting, quality parameters of the harvest, soil types, soil physico-chemical parameters, weather information (min-max temperature, rainfall), leaf area index measurents, destructive biomass (fresh, dry) measurements, chlorophyll assessment from chlorophyllmeter device, reflectance from drone or satellite imagery, vegetation index, nitrogen fertilization rates, results of physico-chemical analyses performed on soils or plant tissues."
9494,"Marriages, by marital status and age of groom, and by marital status and age of bride, opposite-sex marriage, Canada"
3703,"At the end of each fiscal year, the Receiver General of Canada publishes financial information in the Public Accounts. This dataset, based on Section 3 of Volume 1, presents (in millions of dollars) a two year comparative analysis of revenues, expenses and the accumulated deficit. It includes data on the various types of revenues taken from tables 3.1 through to 3.5 and data on public debt charges taken from Table 3.8. This non-official record of information comes from the Public Accounts of Canada. You can find the official version of record for the most recent fiscal year on the Receiver General website and that of Library and Archives for historical years."
8493,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
863,Goods and Services Tax (GST) and Harmonized Sales Tax (HST) Incremental Federal Rebate for Municipalities Report.
435,"List of all error codes for ACROSS including electronic release, Advance Commercial Information (marine, air and rail) and Customs Self Assessment program ."
6857,"Real estate rental and leasing and property management, summary statistics"
8092,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4541,"Farm supply and disposition of grains as of March 31, July 31, August 31 (soybeans only) and December 31"
4019,"Canadian passenger bus and urban transit industries, operating revenue, by North American Industry Classification System (NAICS)"
2671,"The statistics presented in these documents reflect operations under the Investment Canada Act, specifically the number and value of notifications and reviewed applications.  "
1638,Tag and recapture information on cod marked with unique numbered plastic tags. Purpose: Cod stock assessment and research.
3048,"This group of maps, which includes the CanMatrix and CanTopo collections, is now a legacy product that is no longer maintained. Natural Resources Canada's (NRCan) topographic raster maps provide a representation of the topographic phenomena of the Canadian landmass. Several editions of paper maps have been produced over time in order to offer improved products compared to their predecessors in terms of quality and the most up to date information possible. The georeferenced maps can be used in a Geographic Information System (GIS). In all cases, they accurately represent the topographical data available for the date indicated (validity date). The combination of CanMatrix and CanTopo data provides complete national coverage. • CanMatrix - Print Ready: Raster maps produced by scanning topographic maps at scales from 1:25 000 to 1:1 000 000. This product is not georeferenced. Validity dates: 1944 to 2005 (1980 on average). Available formats: PDF and TIFF • CanMatrix - Georeferenced: Raster maps produced by scanning topographic maps at scales of 1:50 000 and 1:250 000. These maps are georeferenced according to the 1983 North American Reference System (NAD 83).
 Validity dates: 1944 to 2005 (1980 on average). Available format: GeoTIFF • CanTopo: Digital raster maps produced mainly from the GeoBase initiative, NRCan digital topographic data, and other sources. Approximately 2,234 datasets (maps) at scale of 1:50 000, primarily covering northern Canada, are available. CanTopo datasets in GeoPDF and GeoTIFF format are georeferenced according to the 1983 North American Reference System (NAD 83). Validity dates: 1946 to 2012 (2007 on average). Available formats: PDF, GeoPDF, TIFF and GeoTIFF"
10097,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
6616,"Registered pension plans (RPPs), members and market value of assets, by size of plan, sector, type of plan and contributory status"
2146,"In support of the Chemicals Management Plan, a wastewater monitoring program was initiated in 2009 to generate data on priorities substances that may be released to the environment.  On December 8, 2006, the Government of Canada unveiled the Chemicals Management Plan (CMP) which takes action regarding chemicals that are harmful to human health or the environment.  One element of the CMP is Monitoring and Surveillance, which generates data on the presence and levels of chemical substances in environmental matrices.  These data are used to make risk assessment and risk management decisions regarding the best approach to protect Canadians and their environment from risks these substances might pose.  

The wastewater sector has been identified as a possible release point to the environment for certain CMP substances.  The purpose of the wastewater monitoring program is to gather information from representative municipal wastewater treatment plants (WWTPs) across Canada to determine the levels of selected chemical substances (such as Bisphenol A, pharmaceuticals and personal care products, flame retardants, heavy metals, etc) entering WWTPs, the fate of these substances through various typical wastewater and sludge treatment processes (primary treatment, activated sludge treatment, lagoon treatment, etc.) at warm and cold process temperatures, and levels of these substances being discharged in WWTP effluents and solids residuals. The participation of various WWTPs in this program is done on a voluntary and anonymous basis, and sampling can only commence once a Memorandum of Understanding (MOU) has been signed by the Municipality and Environment and Climate Change Canada.  The results from this monitoring project will be used to improve our understanding and prediction of the fate of chemical substances during wastewater treatment and to determine if control measures are needed to prevent these substances from entering the municipal wastewater system."
1624,Capelin larval information from plankton tows. Purpose: Capelin research - early life history.
3301,A collection of historic photographs taken at the National Research Council dating back to 1916.
10557,"The Federal Contaminated Sites Inventory includes information on all known federal contaminated sites under the custodianship of departments, agencies and consolidated Crown corporations as well as those that are being or have been investigated to determine whether they have contamination arising from past use that could pose a risk to human health or the environment. The inventory also includes non-federal contaminated sites for which the Government of Canada has accepted some or all financial responsibility. It does not include sites where contamination has been caused by, and which are under the control of, enterprise Crown corporations, private individuals, firms or other levels of government."
3844,The purpose of the Outstanding Accounts Receivable (OAR) dataset is to monitor outstanding accounts receivable and the aging of each account (0-30 days; 31-60 days; 61-90 days; 90-365 days; more than 365 days).
376,"The National Ecological Framework for Canada's ""Surficial Geology by Ecozone” dataset contains tables that provide surficial geology information with the ecozone framework polygons. It provides codes that characterize surficial geology (unconsolidated geologic materials) and their English and French-language descriptions as well as information about the area and percentage of the polygon that the material occupies."
10237,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
356,"This dataset includes hourly data weather data for the La Salle River Watershed Near Elie, Manitoba, Canada (Water Survey of Canada Hydrometric Station 05OG008) created for hydrological modelling as part of Agriculture and Agri-food Canada’s Red-Assiniboine Project. The dataset includes parameters typically required to run hydrological models at an hourly time step including precipitation, temperature, wind speed, solar radiation, and relative humidity. A variety of methods were used to derive the best estimated hourly value from multiple nearby weather stations. These methods include gap-filling (e.g. linear regression) and disaggregation (e.g. Bartlett-Lewis model) techniques, as outlined in Cordeiro et. al. Long-term weather, hydrometric, and water chemistry datasets in high-temporal resolution at the La Salle River watershed in Manitoba, Canada. Earth System Science Data Journal. Not submitted."
9901,"Average weekly earnings, (SEPH), by Standard Industrial Classification, 1960 (SIC)"
6474,"Domestic and international itinerant movements, by type of operation, airports with NAV CANADA towers"
5141,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
6324,"Survey of innovation and business strategy, distinct product lines offered, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
4065,"Number of shelters operating and responding to the transition home survey, by area of service"
2054,"The Canadian OzoneSonde Network measures vertical profiles of ozone from ground level up to 36 km altitude across Canada. The objectives of the network are to provide long-term stratospheric and tropospheric ozone data for periodic assessment of the state of the ozone layer, to validate satellite ozone data and air-quality model output, and to provide data for chemical data assimilation and for studying current and emerging issues such as climate change."
9029,"Domestic and international cargo, tonnage loaded and unloaded by water transport, by province and territory"
5449,"Employment, by enterprise size"
10700,"Facilities meeting the requirements to requalify cylinders and tubes set out in clause 24 of CSA B339 are given a Certificate of Registration. Upon registration, an identifying mark is issued to each requalifier. This mark must be stamped or affixed, depending on the container specification, on the cylinder or tube each time it is requalified.  A Certificate of Registration is valid for a period of five years"
4947,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
2733,"The CWWF will primarily focus investments on meeting immediate priorities for clean water and wastewater to support a cleaner and healthier environment for communities. These include: 
•the rehabilitation and optimization of water, storm water, and wastewater related infrastructure; 
•improvement of asset management approaches including studies and pilot projects; 
•planning for future upgrades to wastewater treatment and collection infrastructure to meet  applicable regulatory requirements; and 
•new construction projects, including the construction of naturalized systems for management and treatment of wastewater and storm water may also be considered if they can be completed within the program timeframe. "
2639,With Financial Performance Data you can view financial data based on industry averages.
7993,"Residential care facilities, by ownership, principal characteristic of predominant group of residents and size of facility, Canada, provinces and territories"
5759,"Private non-profit organizations' in-house research and development expenditures, by nature of research and development"
8447,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
987,An annual publication released on CSA website with the aggregate results of the annual data collection sent out to all Canadian organizations (academic and businesses) involved in the space sector.  
8850,"Employment, by enterprise size, by province and territory"
10630,This bank contains information about planned inspections for businesses for 5 years. It also includes information on risk indicators business
2570,"This dataset provides the results obtained by Health Canada’s Radiological Monitoring Network (CRMN) for tritium content in atmospheric water vapor sampled from monitoring stations in Ontario, Quebec and New Brunswick. More information about the CRMN network can be found here: http://www.hc-sc.gc.ca/ewh-semt/contaminants/radiation/crmn-rcsr/index-eng.php The results provided are for tritium activity concentration, expressed in units of becquerels per cubic meter (Bq/m3). Atmospheric water is sampled monthly for determination of tritium content. The majority of such monitoring activity occurs in close proximity to nuclear power plants. Until 1996, Health Canada monitored the areas near Darlington, Bruce and Pickering in Ontario, Gentilly in Quebec, and Point Lepreau in New Brunswick. In 1996, Health Canada’s monitoring of the Ontario stations was terminated to avoid redundancy, since a similar initiative was underway through the Ontario Ministry of Labour. Currently, the CRMN monitors six sites in the vicinity of Point Lepreau, four sites in the vicinity of Gentilly, and a single site in the Greater Toronto Area. The average tritium concentration for the CRMN stations is 0.22 Bq/m3 for the time period from 2004 to 2013. This is consistent with results reported for other monitoring stations in close proximity to Canadian nuclear power stations, and the levels are considered to be safe from a health perspective. Note that the tritium values are measured using liquid scintillator measurements. This requires removing the background contribution from the measurement. The uncertainty associated with each measurement, can lead to reported values of less than zero."
825,"Statistics tracking the representation of women, aboriginal peoples, persons with disabilities, and members of visible minorities in the CSNC"
8645,"The Federal Electoral District Boundary Files portray the federal electoral district boundaries for which census data are disseminated. They are available for download in two types: cartographic and digital. Cartographic boundary files depict the geographic areas using only the shorelines of the major land mass of Canada and its coastal islands. Digital boundary files depict the full extent of the geographic areas, including the coastal water area. The files provide a framework for mapping and spatial analysis using commercially available geographic information systems (GIS) or other mapping software."
5890,"Income of immigrants, by sex, landing age group, immigrant admission category, years since landing and landing year, for Manitoba, 2013 constant dollars"
4077,Gross national income and gross domestic income
4801,"Labour Force Survey estimates (LFS), employees by union status, sex, age group and education level, Canada"
1917,Phytoplankton data collected in eastern Canada (but mostly in the Estuary and Gulf of St. Lawrence) since 1979. Data include species identification and their abundance.
10669,"Lease administration system for the Pickering Lands Site.  Contains tenancy data, leases and live, real time, real property data.  Programmed and housed  by PWGSC."
4752,Provincial financial summary of performing arts
3350,"The Conditional Release Appeal Decisions dataset provides information on the number and results of decisions rendered by the PBC Appeal Division during a given period. Decisions are sorted according to location and final decision. Items found in this dataset include, among others, jurisdiction, decision purpose, sentence type, review type, race, gender and offence type."
8286,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7296,"Canadian passenger bus and urban transit industries, revenue and expenses, by selected provinces and regions"
5032,"Survey of innovation, logging and manufacturing industries, percentage of plants with any new or significantly improved products sold to natural resource industries"
1714,"Catch rates and lengths of larval fish (primarily capelin) taken from a gridwork of stations in Trinity Bay, Newfoundland. Frequency of sampling is monthly, from August to October. Purpose: Provide index of capelin recruitment."
2076,"The datafile contains concentrations of 30 trace metals in freshwater fish collected from water bodies accross Canada. These data were produced by Environment Canada's National Fish Contaminants Monitoring and Surveillance Program (FCMSP) to support priorities of the Great Lakes Water Quality Agreement between Canada and the USA, Canada's Chemicals Management Plan (CMP), and Clean Air Regulatory Agenda (CARA).  All concentrations reported were measured in whole body homogenates of fish."
9142,"Financial market statistics, as at Wednesday, Bank of Canada"
2442,"The main objective of this study was to test communications materials developed by HRSDC. More specifically, three different creative concepts were tested with four key audiences:
•General population – non-volunteers;
•General population – volunteers;
•Not-for-profit and social organizations; and
•Small and medium-sized businesses.
The following elements were assessed for each concept:
•The name of the award program;
•The visual element; and
•The tagline.
Common elements – such as the sponsorship of the program, award categories and the contact information – were assessed once."
9924,"Statement of income and capital expenditures for companies having $10 million or more of total assets, by industry based on the Standard Industrial Classification, 1960 (SIC)"
867,"The Goods and Services Tax (GST) and Harmonized Sales Tax (HST) Incremental Federal Rebate for Municipalities Report provides the GST/HST incremental rebate amount paid to incorporated, determined, and designated municipalities, as defined in the Excise Tax Act, as follows: - incorporated municipal bodies, such as cities, towns, villages, and metropolitan authorities; - entities determined by the Minister of National Revenue to be a municipality, such as transit commissions and public libraries; and - entities designated by the Minister of National Revenue, in relation to their delivery of municipal services, such as some non-profit social housing corporations or co-operatives. "
147,"The “Agri-Environmental Indicator (AEI) - Risk of Soil Erosion (SoilERI)” dataset provides the estimated rate of soil loss from the combined effects of wind, water and tillage for Soil Landscapes of Canada agricultural areas for census years from 1981 to 2011."
9022,"Provincial and territorial general governments, financial assets and liabilities"
7614,"Farm financial survey, Canadian and regional agricultural balance sheet (gross farm revenue equal to or greater than $25,000)"
3992,"Time spent providing care to a family member or friend with a long-term illness, disability or aging needs, by sex and main activity of caregiver"
2059,"This global dataset contains monthly, seasonal and annual statistics (mean and maximum) of significant wave height (Hs) that were produced using a statistical modelling approach and the 6-hourly sea level pressure (SLP) fields simulated by 20 global climate models participated in the Coupled Climate Model Comparison Phase 5 (CMIP5) project for the historical period (1950-2005) and for two different future emission scenarios (RCP4.5 and RCP8.5).

Reference
Wang et al. (2014) - Changes in global ocean wave heights as projected using multimodel CMIP5 simulations. Geophysical Research Letters, 41, 1026-1034, doi:10.1002/2013GL058650."
3962,"Survey of innovation, selected service industries, novelty of new or significantly improved processes"
10088,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
10740,"Records of travel costs and overtime resulting from Civil Aviation operations (oversight, certification, etc. )"
1955,Evaluation of the abundance and size of green sea urchins in the 9-1 zone conducted by divers in 2008 and 2010.
1116,"Percentage of resources providing internal services, by region, in bilingual offices."
9821,"Survey of household spending (SHS), household spending on health care, by province and territory"
2406,The research will be conducted in three phases beginning with a survey of private career colleges (Institutional Survey) to ascertain the number of institutions and students eligible to participate in the Career Colleges Student Survey. The in-school survey of students attending private career colleges will include follow-up to determine outcomes associated with participation in the private post-secondary educational system.
4000,"Consumer Price Index (CPI), seasonally adjusted, 1992 basket content"
8512,"Adoption of advanced green technologies, by North American Industry Classification System (NAICS) and enterprise size"
7315,"Health behaviour in school-aged children 2002, student response to question: Where were you treated for the most serious injury?"
8946,Summary table. Find data on the number of students enrolled in Canadian colleges or universities by program. Both sexes. STC
7153,"Survey of innovation, logging and manufacturing industries, percentage of innovative plants, by the most valuable type of co-operation partner for innovation activities"
4073,"Census of Agriculture, poultry production in the year prior to the census"
5656,"Labour statistics by business sector industry and non-commercial activity, consistent with the System of National Accounts, by North American Industry Classification System (NAICS)"
8244,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
10794,Information on serious wrongdoings in the workplace at Veterans Affairs Canada.
7358,"Enterprises holding or using issued patents, by category of patent acquisition and selected industry group, December 2010"
